ticker,date,monthly_return,annualised_vol,annualised_return,sharpe_ratio,vix,name,sector,subsector,country,market_cap_bn,esg_score,env_score,social_score,gov_score,scope1_ktco2e,scope2_ktco2e,scope3_ktco2e,revenue_mn,renewable_energy_pct,employees,women_mgmt_pct,board_diversity_pct,board_independence_pct,taxonomy_eligible_pct,taxonomy_aligned_pct,has_sbti,net_zero_year,controversy_score,carbon_intensity
AES,2020-08-31,0.15874510301893296,0.36133225857439566,1.9049412362271956,5.2719932721838125,22.88952382405599,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2020-09-30,0.0224187226934065,0.24202252301316723,0.269024672320878,1.1115687456338175,27.647619065784273,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2020-10-31,0.0839641461276186,0.2449482363654537,0.961771128370904,3.9264260181729864,29.438636086203836,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2020-11-30,0.05245211495385538,0.37648868638642163,0.6608966484185778,1.7554223335684638,24.995500087738037,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2020-12-31,0.14300916460761715,0.2724346033768194,1.6381049764145237,6.0128374153292485,22.374090974981133,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2021-01-31,0.05477720834611799,0.552992523137755,0.7265187633274597,1.3137949120995218,24.90999984741211,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2021-02-28,0.09150318459349593,0.40921017170965485,1.213621185134788,2.9657649516979347,23.140526219418174,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2021-03-31,0.014228409674799103,0.33359213454050857,0.1558938799151902,0.46731881172773804,21.843043534652047,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2021-04-30,0.04367368240749048,0.17648089228391395,0.5240841888898857,2.9696370077660554,17.416190556117467,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
AES,2021-05-31,-0.08759200413907431,0.27316279621500117,-1.1036592521523363,-4.0402985598509815,19.7604998588562,AES Corporation,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
