Date,AES,AMT,BEPC,BIP,BP,CCI,D,DLR,DNNGY,DUK,ENPH,EQIX,EQNR,EXC,FSLR,NEE,NGG,PLUG,SEDG,SHEL,SO,TTE,VWDRY,WELL,WM
2020-01-02,15.72508430480957,191.72254943847656,,22.514989852905273,26.8403377532959,107.63249206542969,61.82332992553711,95.41394805908203,31.94682502746582,69.94713592529297,29.34000015258789,512.9212646484375,13.188307762145996,25.92755889892578,57.2400016784668,51.085975646972656,42.06067657470703,3.240000009536743,101.80999755859375,46.35249328613281,48.87823486328125,37.319000244140625,6.3622870445251465,66.4516830444336,103.18372344970703
2020-01-03,15.544516563415527,191.8148193359375,,22.60495376586914,27.325912475585938,108.22509002685547,61.67245101928711,96.98258972167969,31.627729415893555,69.99362182617188,29.290000915527344,518.0298461914062,13.22704029083252,26.0074520111084,57.02000045776367,51.449928283691406,41.966224670410156,3.2300000190734863,102.37999725341797,46.7171630859375,48.8314094543457,37.45404815673828,6.224818706512451,67.62086486816406,104.18646240234375
2020-01-06,15.72508430480957,191.7644500732422,,22.67693519592285,28.043718338012695,107.3134536743164,62.14767074584961,96.10933685302734,31.509479522705078,70.33428192138672,29.65999984741211,517.4631958007812,13.530440330505371,26.04740333557129,55.83000183105469,51.70682907104492,41.945987701416016,3.819999933242798,99.62999725341797,47.299102783203125,49.02653503417969,38.15625762939453,6.277095794677734,68.64906311035156,104.728515625
2020-01-07,15.780036926269531,187.67832946777344,,22.56446647644043,27.748157501220703,105.49778747558594,62.011905670166016,95.16328430175781,30.726764678955078,69.8929443359375,29.989999771118164,515.1613159179688,13.375513076782227,26.070236206054688,56.66999816894531,51.661869049072266,41.76381301879883,3.809999942779541,101.79000091552734,46.86458969116211,48.87823486328125,37.940181732177734,6.1396260261535645,68.2012939453125,104.80076599121094
2020-01-08,15.748636245727539,189.30604553222656,,22.559978485107422,27.325912475585938,105.93839263916016,61.619667053222656,95.98804473876953,30.088579177856445,69.99362182617188,31.0,516.861083984375,13.272225379943848,26.258569717407227,56.70000076293945,51.63832092285156,41.57489776611328,4.079999923706055,104.16000366210938,46.31369400024414,48.86262130737305,37.71061325073242,6.228691101074219,68.2178726196289,104.86400604248047
2020-01-09,15.905654907226562,190.01927185058594,,22.389026641845703,27.417396545410156,106.54615783691406,61.793155670166016,95.99613189697266,30.032264709472656,70.16395568847656,31.59000015258789,521.4559936523438,13.343236923217773,26.338468551635742,56.70000076293945,52.042945861816406,41.29152297973633,4.050000190734863,102.73999786376953,46.305938720703125,49.37779235839844,37.73088073730469,6.145435333251953,68.37541198730469,104.90914916992188
2020-01-10,15.842842102050781,193.65232849121094,,22.56446647644043,27.262575149536133,108.17947387695312,61.90629959106445,97.33030700683594,30.266891479492188,70.02458953857422,30.670000076293945,525.8917846679688,13.194764137268066,26.4012508392334,56.5,52.14143371582031,41.190311431884766,4.139999866485596,104.5199966430664,45.78607940673828,49.69001007080078,37.44729232788086,6.087349891662598,68.65733337402344,104.97240447998047
2020-01-13,15.944902420043945,197.52035522460938,,22.79839515686035,27.30479621887207,108.85560607910156,61.89121627807617,98.62405395507812,30.79714584350586,70.64400482177734,30.790000915527344,526.7415771484375,13.22704029083252,26.361297607421875,57.439998626708984,52.75157165527344,41.230804443359375,4.099999904632568,103.08000183105469,45.74728775024414,50.37689971923828,37.40678024291992,6.1047749519348145,69.7104263305664,106.29134368896484
2020-01-14,16.015560150146484,196.29534912109375,,23.387693405151367,27.318880081176758,107.837646484375,61.81577682495117,97.6375732421875,30.970773696899414,70.69044494628906,30.200000762939453,519.25146484375,13.188307762145996,26.144426345825195,58.779998779296875,53.03632354736328,41.29152297973633,4.039999961853027,104.0199966430664,45.716251373291016,50.67350387573242,36.9273681640625,6.0776686668396,69.67724609375,106.66172790527344
2020-01-15,16.062671661376953,197.4951934814453,,23.74757957458496,27.24146842956543,109.4329605102539,62.60027313232422,97.83161926269531,32.00782775878906,71.61182403564453,30.15999984741211,519.0214233398438,12.981738090515137,26.566753387451172,54.75,53.860565185546875,42.047176361083984,4.199999809265137,103.61000061035156,45.6386604309082,51.18867111206055,36.54249954223633,6.199647903442383,70.44013214111328,106.7972412109375
